pano,pmes,conglome,vivienda,hogar,codperso,dominio,estrato,p101p,p103,p104,p105,p106,p107,p108,p110,p200n,p200i,p200a,p200b,p200c,p200d,p200e,p200f,p200g,p201,p202,p203,p204,p2041,p2042,p2043,p2044,p2045,p2046,p2047,p2048,p2049,p20410,p205,p206,p207a,p207b,p208a,p208b1,p208b2,p208b3,p209,p209a,p209b,p209c,p209d,p209e,p209f,p209g,p209t,p209h,p210,p211a,p211b,p212a,p212b,p212c,p212d,p212e,p213,p214,p215,p216,p217,p218,p219,p220,p221a,p221b1,p221b2,p221b3,p222,ocu200,i211a,i212a,d211b,factor,toting,p200bb,p200dd,ingprinc,lintot01,linsub01,ingtrab,subemp01
2002,2,699,14,11,2,8,1,51102,3,1,2, ,2,16,2,2,2,10,2,16,2,11,3,1985,2,2,2,0,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,9,2, , , , ,1,0,5,1,2002,5,4, , , ,478.012401081983, , , ,999999,261.4118611,587.210880106404,0, 
2002,2,699,14,11,3,8,1,51103,3,1,2, ,1,14,3,3,2,10,2,16,2,8,12,1987,1, , , , , , , , , , , , , ,7,4,1,4,1, , , ,0,7,12,9,12,9,9,9,67,2,1,12,4, , ,91,0,0, , , , , , , , , , , , ,5,1,300, ,100,464.99792891255,491, , ,400,261.4118611,587.210880106404,491,2
2002,2,699,14,11,4,8,1,51104,3,1,2, ,2,8,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,480.9599306492, , , ,999999,261.4118611,587.210880106404,0, 
2002,2,699,14,11,5,8,1,51105,6,1,2, ,1,23,5,5,5,17,2,23,2,18,6,1978,1, , , , , , , , , , , , , ,5,4,1,24,1, , , ,0,0,10,10,10,10,10,10,60,1,4,500,130, , ,0,0,1, , , , , , , , , , , , ,5,1,500, ,130,464.99792891255,630, , ,630,261.4118611,587.210880106404,630,3
2002,2,699,16,11,1,8,1,51101,1,1,2, ,1,38,1,1,1,10,2,16,2,8,10,1963,2,2,2,0,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,1,3,1,0,8,2,2002,5,2, , , ,507.33091543162, , , ,999999,261.4118611,587.210880106404,0,4
2002,2,699,16,11,2,8,1,51102,2,1,2, ,2,35,2,2,2,10,2,16,2,25,11,1966,1, , , , , , , , , , , , , ,4,2,1,1,1, , , ,0,2,2,2,2,0,2,0,10,1, , , ,50,0,0,0,1, , , , , , , , , , , , ,5,1, ,50, ,480.549215085941,50, , ,50,261.4118611,587.210880106404,50,1
2002,2,699,16,11,3,8,1,51103,3,1,2, ,1,14,3,3,3,10,2,16,2,21,10,1987,2,2,2,0,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,1,1,3, , ,1,0,2,2,2002,5,4, , , ,464.99792891255, , , ,999999,261.4118611,587.210880106404,0, 
2002,2,699,16,11,4,8,1,51104,3,1,2, ,1,13,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,441.396841073641, , , ,999999,261.4118611,587.210880106404,0, 
2002,2,699,16,11,5,8,1,51105,3,1,2, ,2,7,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,480.9599306492, , , ,999999,261.4118611,587.210880106404,0, 
2002,2,699,16,11,6,8,1,51106,6,1,2, ,2,21,6,6,6,17,2,23,2,25,12,1980,1, , , , , , , , , , , , , ,7,6,1,2,1, , , ,0,0,10,10,10,10,10,7,57,1,4,400,260, , ,0,0,1, , , , , , , , , , , , ,5,1,400, ,260,478.012401081983,660, , ,660,261.4118611,587.210880106404,660,3
